ID,Icd1,Icd2,DiagnosisText,Comments,Likelihood,Prompt,MuseFlags,CodingFlag,OKForMultipleCodes,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut
554,2C6Y&XH63D2,,Breast Carcinoma,,,,,,,2022,9999,15/02/2024,NA,,
555,2C6Y&XH63D2,,Carcinoma Breast,,,,,,,2022,9999,15/02/2024,NA,,
556,2C6Y&XH63D2,,Primary Breast Carcinoma ,,,,P,,,2022,9999,19/03/2024,NA,,
557,2C6Y&XH63D2&XS9R,,Metastatic Breast Carcinoma,,,,,,,2022,9999,08/02/2024,NA,,
558,2C6Y&XH63D2&XS9R,,Metastatic Carcinoma Breast,,,,,,,2022,9999,08/02/2024,NA,,
559,2C6Y&XH63D2(P),,Primary Breast Carcinoma ,,,,,,,2022,2022,14/03/2024,NA,19/03/2024,NA
560,2C6Y&XH74S1&XS9R,,Metastatic Adenocarcinoma Breast,,,,,,,2022,9999,08/03/2024,NA,,
561,2C6Z,,Breast Cancer,,,,,,,2022,9999,02/11/2023,NA,,
562,2C6Z,,Breast Carcinoma,,,,,,,2022,2022,05/12/2023,NA,15/02/2024,NA
563,2C6Z,,Cancer Breast,,,,,,,2022,9999,08/03/2024,NA,,
564,2C6Z,,Carcinoma Breast,,,,,,,2022,2022,07/11/2023,NA,15/02/2024,NA
565,2C6Z,,Carcinoma Of Breast,,,,,,,2022,2022,28/11/2023,NA,14/12/2023,NA
566,2C6Z,,Carcinoma Of The Breast,,,,,,,2022,2022,07/11/2023,NA,14/12/2023,NA
567,2C6Z,,Malignant Neoplasm Breast,,,,,,,2022,9999,14/12/2023,NA,,
4372,2C6Z,,Malignant Neoplasm Female Breast ,,,,,,,2022,9999,28/03/2025,NA,,
568,2C6Z,,Malignant Neoplasm Of Breast,,,,,,,2022,2022,28/11/2023,NA,14/12/2023,NA
569,2C6Z,,Malignant Tumour Breast,,,,,,,2022,9999,23/01/2024,NA,,
3207,2C6Z&XS0J,,Previous Breast Cancer,,,,,,,2022,9999,19/02/2025,NA,,
570,2C6Z&XS9R,,Metastatic Breast Cancer,,,,,,,2022,9999,19/12/2023,NA,,
571,2C6Z&XS9R,,Metastatic Cancer Breast,,,,,,,2022,9999,02/10/2024,NA,,
572,2C6Z&XS9R,,Metastatic Carcinoma Breast,,,,,,,2022,2022,08/01/2024,NA,08/02/2024,NA
573,2C701,,Melanoma Vulva,,,,P,,,2022,9999,19/03/2024,NA,,
574,2C701(P),,Melanoma Vulva,,,,,,,2022,2022,02/02/2024,NA,19/03/2024,NA
3161,2C702&XS9R,,Metastatic Squamous Cell Carcinoma Vulva,,,,,,,2022,9999,11/02/2025,NA,,
575,2C70Z,,Vulval Cancer,,,,,,,2022,9999,05/12/2023,NA,,
3257,2C70Z&XS9R,,Metastatic Vulval Cancer ,,,,,,,2022,9999,14/03/2025,NA,,
576,2C712,,Squamous Cell Carcinoma Of Vagina,,,,,,,2022,9999,13/08/2024,NA,,
577,2C730Y&XH74S1&XS9R,,Metastatic Adenocarcinoma Ovary,,,,,,,2022,9999,02/10/2024,NA,,
578,2C730Y&XH74S1&XS9R,,Metastatic Ovarian Adenocarcinoma,,,,,,,2022,9999,08/03/2024,NA,,
579,2C730Z,,Carcinoma Ovary,,,,,,,2022,9999,08/03/2024,NA,,
580,2C730Z,,Metastatic Ovarian Carcinoma,,,,,,,2022,2022,26/01/2024,NA,08/02/2024,NA
581,2C730Z,,Ovarian Carcinoma,,,,,,,2022,9999,05/02/2024,NA,,
582,2C730Z&XS9R,,Metastatic Carcinoma Ovary,,,,,,,2022,9999,20/02/2024,NA,,
583,2C730Z&XS9R,,Metastatic Ovarian Carcinoma,,,,,,,2022,9999,08/02/2024,NA,,
584,2C73Z,,Malignant Tumour Ovary,,,,,,,2022,9999,08/03/2024,NA,,
585,2C73Z,,Ovarian Cancer,,,,,,,2022,9999,02/11/2023,NA,,
586,2C73Z&XS9R,,Metastatic Ovarian Cancer,,,,,,,2022,9999,19/12/2023,NA,,
587,2C7643,,Carcinosarcoma of The Uterus,,,,,,,2022,9999,05/08/2024,NA,,
4373,2C7643&XA8QA8&XS9R,,Metastatic Endometrial Carcinosarcoma ,,,,,,,2022,9999,28/03/2025,NA,,
588,2C76Y&XH63D2,,Endometrial Carcinoma,,,,,,,2022,9999,15/02/2024,NA,,
589,2C76Y&XH63D2&XS9R,,Metastatic Endometrial Carcinoma,,,,,,,2022,9999,15/02/2024,NA,,
3226,2C76Y&XH74S1,,Endometrial Adenocarcinoma ,,,,,,,2022,9999,07/03/2025,NA,,
590,2C76Y&XH74S1&XS9R,,Metastatic Endometrial Adenocarcinoma,,,,,,,2022,9999,08/03/2024,NA,,
591,2C76Z,,Endometrial Cancer,,,,,,,2022,9999,02/11/2023,NA,,
592,2C76Z,,Endometrial Carcinoma,,,,,,,2022,2022,27/11/2023,NA,15/02/2024,NA
593,2C76Z&XA8QA8&XS9R,,Metastatic Endometrial Cancer,,,,,,,2022,9999,18/06/2024,NA,,
594,2C76Z&XS9R,,Metastatic Endometrial Cancer,,,,,,,2022,2022,08/01/2024,NA,18/06/2024,NA
595,2C76Z&XS9R,,Metastatic Endometrial Carcinoma,,,,,,,2022,2022,08/01/2024,NA,15/02/2024,NA
596,2C77&XS9R,,Metastatic Squamous Cell Carcinoma Cervix,,,,,,,2022,2022,21/02/2024,NA,06/03/2024,NA
597,2C770&XS9R,,Metastatic Squamous Cell Carcinoma Cervix,,,,,,,2022,9999,06/03/2024,NA,,
598,2C77Y&XH63D2,,Carcinoma Cervix,,,,,,,2022,9999,21/02/2024,NA,,
599,2C77Y&XH63D2&XS9R,,Metastatic Carcinoma Cervix,,,,,,,2022,9999,02/10/2024,NA,,
600,2C77Z,,Cervical Cancer,,,,,,,2022,9999,05/02/2024,NA,,
601,2C77Z&XS9R,,Metastatic Cervical Cancer,,,,,,,2022,9999,23/01/2024,NA,,
602,2C78&XS9R,,Metastatic Uterine Cancer,,,,,,,2022,9999,05/02/2024,NA,,
603,2C81Z,,Penile Cancer,,,,,,,2022,9999,07/08/2024,NA,,
3258,2C81Z&XS9R,,Metastatic Penile Cancer ,,,,,,,2022,9999,14/03/2025,NA,,
604,2C820,,Adenocarcinoma Of Prostate,,,,,,,2022,2022,05/12/2023,NA,14/12/2023,NA
605,2C820,,Adenocarcinoma Prostate,,,,,,,2022,9999,14/12/2023,NA,,
3109,2C820,,Prostate Adenocarcinoma,,,,,,,2022,9999,04/02/2025,NA,,
606,2C820,,Prostatic Adenocarcinoma,,,,,,,2022,9999,04/03/2024,NA,,
607,2C820&XS9R,,Metastatic Adenocarcinoma Prostate,,,,,,,2022,9999,08/01/2024,NA,,
608,2C820&XS9R,,Metastatic Prostate Adenocarcinoma,,,,,,,2022,9999,02/02/2024,NA,,
609,2C82Y&XH63D2,,Carcinoma Prostate,,,,,,,2022,9999,15/02/2024,NA,,
610,2C82Y&XH63D2,,Prostate Carcinoma,,,,,,,2022,9999,15/02/2024,NA,,
611,2C82Y&XH63D2,,Prostatic Carcinoma,,,,,,,2022,9999,05/03/2024,NA,,
612,2C82Y&XH63D2&XS9R,,Metastatic Carcinoma Prostate,,,,,,,2022,9999,15/02/2024,NA,,
613,2C82Y&XH63D2&XS9R,,Metastatic Prostate Carcinoma,,,,,,,2022,9999,15/02/2024,NA,,
614,2C82Z,,Cancer Of Prostate,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
615,2C82Z,,Cancer Prostate,,,,,,,2022,9999,14/12/2023,NA,,
616,2C82Z,,Carcinoma Of Prostate,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
617,2C82Z,,Carcinoma Of The Prostate,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
618,2C82Z,,Carcinoma Prostate,,,,,,,2022,2022,28/11/2023,NA,15/02/2024,NA
619,2C82Z,,Malignant Neoplasm Of Prostate,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
620,2C82Z,,Malignant Neoplasm Prostate,,,,,,,2022,9999,14/12/2023,NA,,
621,2C82Z,,Malignant Tumour Of Prostate,,,,,,,2022,2022,08/11/2023,NA,14/12/2023,NA
622,2C82Z,,Malignant Tumour Prostate,,,,,,,2022,9999,14/12/2023,NA,,
623,2C82Z,,Prostate Cancer,,,,,,,2022,9999,13/10/2023,NA,,
624,2C82Z,,Prostate Carcinoma,,,,,,,2022,2022,13/10/2023,NA,15/02/2024,NA
625,2C82Z&XS9R,,Metastatic Cancer Prostate,,,,,,,2022,9999,26/01/2024,NA,,
626,2C82Z&XS9R,,Metastatic Carcinoma Prostate,,,,,,,2022,2022,08/01/2024,NA,15/02/2024,NA
627,2C82Z&XS9R,,Metastatic Prostate Cancer,,,,,,,2022,9999,19/12/2023,NA,,
628,2C82Z&XS9R,,Metastatic Prostate Carcinoma,,,,,,,2022,2022,08/01/2024,NA,15/02/2024,NA
3151,2C900,,Renal Cell Cancer,,,,,,,2022,9999,11/02/2025,NA,,
629,2C900,,Renal Cell Carcinoma,,,,,,,2022,2022,02/11/2023,NA,28/02/2024,NA
630,2C900,,Renal Cell Carcinoma,,,,P,,,2022,9999,19/03/2024,NA,,
3176,2C900&XH46F1&XS9R,,Metastatic Clear Cell Renal Carcinoma,,,,,,,2022,9999,18/02/2025,NA,,
631,2C900&XS9R,,Metastatic Renal Cell Cancer,,,,,,,2022,9999,26/01/2024,NA,,
632,2C900&XS9R,,Metastatic Renal Cell Carcinoma,,,,P,,,2022,9999,08/04/2024,NA,,
633,2C900&XS9R(P),,Metastatic Renal Cell Carcinoma,,,,,,,2022,2022,05/02/2024,NA,08/04/2024,NA
634,2C900(P),,Renal Cell Carcinoma,,,,,,,2022,2022,28/02/2024,NA,19/03/2024,NA
635,2C90Y&XH63D2,,Renal Carcinoma,,,,,,,2022,9999,15/02/2024,NA,,
636,2C90Y&XH63D2&XS9R,,Metastatic Renal Carcinoma,,,,,,,2022,9999,15/02/2024,NA,,
637,2C90Z,,Renal Cancer,,,,,,,2022,9999,28/11/2023,NA,,
638,2C90Z,,Renal Carcinoma,,,,,,,2022,2022,07/11/2023,NA,15/02/2024,NA
639,2C90Z&XS9R,,Metastatic Kidney Cancer,,,,,,,2022,9999,08/03/2024,NA,,
640,2C90Z&XS9R,,Metastatic Renal Cancer,,,,,,,2022,9999,08/01/2024,NA,,
641,2C90Z&XS9R,,Metastatic Renal Carcinoma,,,,,,,2022,2022,08/01/2024,NA,15/02/2024,NA
642,2C910,,Urothelial Carcinoma of Renal Pelvis,,,,,,,2022,9999,05/08/2024,NA,,
643,2C92Z,,Rectal Cancer,,,,,,,2022,2022,02/11/2023,NA,16/05/2024,NA
644,2C93Y&XA5TA5&XH63D2,,Urethral Carcinoma,,,,,,,2022,9999,20/03/2024,NA,,
645,2C93Y&XH63D2,,Urethral Carcinoma,,,,,,,2022,2022,06/03/2024,NA,20/03/2024,NA
646,2C93Z&XA5TA5,,Metastatic Urethral Cancer,,,,,,,2022,2022,07/08/2024,NA,23/09/2024,NA
647,2C93Z&XA5TA5&XS9R,,Metastatic Urethral Cancer,,,,,,,2022,9999,23/09/2024,NA,,
3177,2C941,,Squamous Cell Carcinoma Bladder,,,,,,,2022,9999,18/02/2025,NA,,
4403,2C941&XS6G,,Metastatic Squamous Cell carcinoma bladder ,,,,,,,2022,9999,04/04/2025,NA,,
3259,2C942,,Urothelial Carcinoma Bladder ,,,,,,,2022,9999,14/03/2025,NA,,
648,2C942&XH8EH1,,Primary Transitional Cell Carcinoma Of Bladder,,,,P,,,2022,2022,07/08/2024,NA,23/09/2024,NA
649,2C942&XH8EH1,,Transitional Cell Carcinoma Bladder,,,,P,,,2022,9999,08/04/2024,NA,,
650,2C942&XH8EH1,,Transitional Cell Carcinoma Bladder,,,,P,,,2022,2022,07/08/2024,NA,26/02/2025,NA
3227,2C942&XH8EH1,,Transitional Cell Carcinoma Bladder ,,,,P,,,2022,9999,07/03/2025,NA,,
651,2C942&XH8EH1,,Transitional Cell Carcinoma Of Bladder,,,,,,,2022,2022,28/11/2023,NA,14/12/2023,NA
652,2C942&XH8EH1,,Transitional Cell Carcinoma Of The Bladder,,,,,,,2022,2022,29/11/2023,NA,14/12/2023,NA
653,2C942&XH8EH1&XS9R,,Metastatic Transitional Cell Carcinoma Bladder,,,,P,,,2022,2022,23/09/2024,NA,18/02/2025,NA
654,2C942&XH8EH1(P),,Transitional Cell Carcinoma Bladder,,,,,,,2022,2022,14/12/2023,NA,08/04/2024,NA
655,2C942&XS9R,,Metastatic Transitional Cell Carcinoma Bladder,,,,P,,,2022,2022,08/04/2024,NA,23/09/2024,NA
3136,2C942&XS9R,,Metastatic Urothelial Carcinoma Bladder,,,,,,,2022,9999,05/02/2025,NA,,
656,2C942&XS9R(P),,Metastatic Transitional Cell Carcinoma Bladder,,,,,,,2022,2022,19/02/2024,NA,08/04/2024,NA
657,2C94Y,,Bladder Carcinoma,,,,,,,2022,2022,19/02/2024,NA,07/03/2024,NA
658,2C94Y,,Carcinoma Bladder,,,,,,,2022,2022,19/02/2024,NA,07/03/2024,NA
659,2C94Y&XH63D2,,Bladder Carcinoma,,,,,,,2022,9999,07/03/2024,NA,,
660,2C94Y&XH63D2,,Carcinoma Bladder,,,,,,,2022,9999,07/03/2024,NA,,
661,2C94Y&XH63D2&XS9R,,Metastatic Bladder Carcinoma,,,,,,,2022,9999,07/03/2024,NA,,
662,2C94Y&XH63D2&XS9R,,Metastatic Carcinoma Bladder,,,,,,,2022,9999,07/03/2024,NA,,
663,2C94Y&XS9R,,Metastatic Bladder Carcinoma,,,,,,,2022,2022,21/02/2024,NA,07/03/2024,NA
664,2C94Y&XS9R,,Metastatic Carcinoma Bladder,,,,,,,2022,2022,19/02/2024,NA,07/03/2024,NA
3117,2C94Z,,Advanced Bladder Cancer,,,,,,,2022,9999,05/02/2025,NA,,
665,2C94Z,,Bladder Cancer,,,,,,,2022,9999,02/11/2023,NA,,
666,2C94Z,,Bladder Carcinoma,,,,,,,2022,2022,07/11/2023,NA,19/02/2024,NA
667,2C94Z,,Cancer Bladder,,,,,,,2022,9999,05/02/2024,NA,,
668,2C94Z,,Carcinoma Bladder,,,,,,,2022,2022,14/12/2023,NA,19/02/2024,NA
669,2C94Z,,Carcinoma Of Bladder,,,,,,,2022,2022,07/11/2023,NA,14/12/2023,NA
670,2C94Z,,Carcinoma Of The Bladder,,,,,,,2022,2022,07/11/2023,NA,14/12/2023,NA
3112,2C94Z,,Malignant Neoplasm Bladder,,,,,,,2022,9999,04/02/2025,NA,,
671,2C94Z,,Malignant Neoplasm Of Urinary Bladder,,,,,,,2022,2022,05/12/2023,NA,14/12/2023,NA
672,2C94Z,,Malignant Neoplasm Urinary Bladder,,,,,,,2022,9999,14/12/2023,NA,,
3132,2C94Z,,Malignant Tumour Bladder,,,,,,,2022,9999,05/02/2025,NA,,
673,2C94Z,,Malignant Tumour Of Urinary Bladder,,,,,,,2022,2022,07/11/2023,NA,14/12/2023,NA
674,2C94Z,,Malignant Tumour Urinary Bladder,,,,,,,2022,9999,14/12/2023,NA,,
675,2C94Z&XS9R,,Metastatic Bladder Cancer,,,,,,,2022,9999,19/12/2023,NA,,
3141,2C94Z&XS9R,,Metastatic Cancer Bladder,,,,,,,2022,9999,05/02/2025,NA,,
676,2C94Z&XS9R,,Metastatic Carcinoma Bladder,,,,,,,2022,2022,02/02/2024,NA,19/02/2024,NA
677,2C94Z&XS9R,,Metastatic Transitional Cell Carcinoma Bladder,,,,,,,2022,2022,26/01/2024,NA,19/02/2024,NA
678,2C9Y&XH63D2,,Transitional Cell Carcinoma,,,,P,,,2022,9999,19/03/2024,NA,,
679,2C9Y&XH63D2(P),,Transitional Cell Carcinoma,,,,,,,2022,2022,28/02/2024,NA,19/03/2024,NA
3228,2C9Y&XH8EH1,,Urothelial Carcinoma ,,,,,,,2022,9999,07/03/2025,NA,,
680,2C9Y&XH8EH1&XS9R,,Metastatic Urothelial Carcinoma,,,,,,,2022,9999,02/10/2024,NA,,
3229,2C9Z,,Urothelial Cancer ,,,,,,,2022,9999,07/03/2025,NA,,
3178,2C9Z&XH8EH1&XS9R,,Metastatic Transitional Cell Carcinoma,,,,,,,2022,9999,18/02/2025,NA,,
681,2C9Z&XS9R,,Metastatic Urothelial Cancer,,,,,,,2022,9999,19/03/2024,NA,,
682,2C9Z&XS9R,,Metastatic Urothelial Cancer,,,,,,,2022,2022,02/10/2024,NA,08/11/2024,NA
683,2D050,,Malignant Melanoma of Choroid,,,,,,,2022,9999,07/08/2024,NA,,
3139,2D10Z,,Thyroid Cancer,,,,,,,2022,9999,05/02/2025,NA,,
684,2D10Z&XS9R,,Metastatic Thyroid Cancer,,,,,,,2022,9999,26/01/2024,NA,,
685,2D11Y&XH63D2,,Adrenal Carcinoma,,,,,,,2022,9999,02/02/2024,NA,,
3105,2D40,,Adenocarcinoma,,,,,,,2022,9999,04/02/2025,NA,,
3120,2D40&XS9R,,Metastatic Adenocarcinoma,,,,,,,2022,9999,05/02/2025,NA,,
686,2D40&XS9R,,Metastatic Adenocarcinoma Unknown Primary,,,,,,,2022,9999,22/10/2024,NA,,
687,2D41,,Carcinoma Of Unknown Primary,,,,,,,2022,2022,29/11/2023,NA,14/12/2023,NA
688,2D41,,Carcinoma Unknown Primary,,,,,,,2022,9999,14/12/2023,NA,,
689,2D41&XH0945,,Squamous Cell Carcinoma,,,,,,,2022,2022,19/02/2024,NA,22/10/2024,NA
690,2D41&XH0945&XS9R,,Metastatic Squamous Cell Carcinoma,,,,,,,2022,2022,19/02/2024,NA,22/10/2024,NA
691,2D41&XS9R,,Metastatic Carcinoma,,,,,,,2022,9999,23/01/2024,NA,,
692,2D44,2D40&XS9R,Metastatic Adenocarcinoma Unknown Primary,,,,,,,2022,2022,03/01/2024,NA,22/10/2024,NA
3155,2D44,,Cancer Unknown Origin,,,,,,,2022,9999,11/02/2025,NA,,
693,2D44,,Cancer Unknown Primary,,,,,,,2022,9999,22/10/2024,NA,,
694,2D44,,Malignancy Unknown Origin,,,,,,,2022,9999,22/10/2024,NA,,
695,2D44,,Malignant Disease Unknown Primary,,,,,,,2022,9999,22/10/2024,NA,,
3142,2D44,,Metastatic Cancer Unknown Primary Origin,,,,,,,2022,9999,05/02/2025,NA,,
3113,2D44,,Metastatic Malignancy Unknown Origin,,,,,,,2022,9999,04/02/2025,NA,,
696,2D44,,Primary Unknown,,,,,,,2022,9999,04/03/2024,NA,,
697,2D44,,Unknown Primary,,,,,,,2022,9999,08/01/2024,NA,,
698,2D44,,Unknown Primary Site,,,,,,,2022,9999,05/03/2024,NA,,
3143,2D44&XH63D2,,Metastatic Carcinoma Unknown Origin,,,,,,,2022,9999,05/02/2025,NA,,
699,2D44&XH63D2&&XS9R,,Metastatic Carcinoma Unknown Primary,,,,,,,2022,9999,01/03/2024,NA,,
700,2D44&XS9R,,Metastatic Cancer Unknown Origin,,,,,,,2022,9999,08/01/2024,NA,,
701,2D44&XS9R,,Metastatic Cancer Unknown Primary,,,,,,,2022,9999,08/01/2024,NA,,
702,2D44&XS9R,,Metastatic Malignancy Unknown Primary,,,,,,,2022,9999,08/01/2024,NA,,
703,2D4Y&XH0945,,Squamous Cell Carcinoma,,,,,,,2022,9999,22/10/2024,NA,,
704,2D4Y&XH0945,,Squamous Cell Carcinoma,,,,,,,2022,2022,02/11/2023,NA,19/02/2024,NA
705,2D4Y&XH0945&XS9R,,Metastatic Squamous Cell Carcinoma,,,,,,,2022,9999,22/10/2024,NA,,
706,2D4Y&XH0945&XS9R,,Metastatic Squamous Cell Carcinoma,,,,,,,2022,2022,23/01/2024,NA,19/02/2024,NA
3260,2D4Y&XH0U20,,Neuroendocrine Carcinoma ,,,,,,,2022,9999,14/03/2025,NA,,
3126,2D4Y&XH0U20&XS9R,,Metastatic Neuroendocrine Carcinoma,,,,,,,2022,9999,05/02/2025,NA,,
707,2D4Y&XH0XV0,,Mesothelioma,,,,P,,,2022,9999,22/10/2024,NA,,
3148,2D4Y&XH8DS0,,Neuroendocrine Tumour,,,,,,,2022,9999,05/02/2025,NA,,
708,2D4Y&XH8DS0&XS9R,,Metastatic Neuroendocrine Tumour,,,,,,,2022,9999,19/02/2024,NA,,
709,2D4Z,,Cancer Of Unknown Primary,,,,,,,2022,2022,02/11/2023,NA,14/12/2023,NA
710,2D4Z,,Cancer Unknown Primary,,,,,,,2022,2022,14/12/2023,NA,22/10/2024,NA
711,2D4Z,,Malignancy Of Unknown Origin,,,,,,,2022,2022,28/11/2023,NA,14/12/2023,NA
712,2D4Z,,Malignancy Of Unknown Primary,,,,,,,2022,2022,29/11/2023,NA,14/12/2023,NA
713,2D4Z,,Malignancy Unknown Origin,,,,,,,2022,2022,14/12/2023,NA,22/10/2024,NA
714,2D4Z,,Malignancy Unknown Primary,,,,,,,2022,2022,14/12/2023,NA,22/10/2024,NA
715,2D4Z,,Malignancy Unknown Primary,,,,,,,2022,9999,22/10/2024,NA,,
716,2D4Z,,Malignant Disease Of Unknown Primary,,,,,,,2022,2022,28/11/2023,NA,14/12/2023,NA
717,2D4Z,,Malignant Disease Unknown Primary,,,,,,,2022,2022,14/12/2023,NA,22/10/2024,NA
718,2D4Z&XH0XV0,,Mesothelioma,,,,P,,,2022,2022,19/03/2024,NA,22/10/2024,NA
719,2D4Z&XH0XV0(P),,Mesothelioma,,,,,,,2022,2022,28/02/2024,NA,19/03/2024,NA
720,2D4Z&XS9R,,Metastatic Cancer,,,,,,,2022,9999,26/01/2024,NA,,
721,2D4Z&XS9R,,Metastatic Malignancy,,,,,,,2022,9999,08/03/2024,NA,,
722,2D50,,Brain Metastases,,,,,,,2022,9999,23/01/2024,NA,,
723,2D50,,Brain Metastasis,,,,,,,2022,9999,23/01/2024,NA,,
724,2D50,,Cerebral Metastases,,,,,,,2022,2022,05/02/2024,NA,20/03/2024,NA
3179,2D50,,Cerebral Metastasis,,,,,,,2022,9999,18/02/2025,NA,,
725,2D50&XA1M33,,Cerebral Metastases,,,,,,,2022,9999,02/05/2024,NA,,
726,2D50XA1M33,,Cerebral Metastases,,,,,,,2022,2022,20/03/2024,NA,02/05/2024,NA
727,2D52&XA0V83,8B42,Metastatic Spinal Cord Compression,,,,,,,2022,2022,20/01/2025,NA,26/02/2025,NA
728,2D52&XA0V83,,Metastatic Spinal Cord Compression,,,,,,,2022,2022,05/08/2024,NA,26/02/2025,NA
3215,2D52&XA0V83&XS9R,8B42,Metastatic Spinal Cord Compression,,,,,,,2022,9999,26/02/2025,NA,,
729,2D6Z,,Lymph Node Metastases,,,,,,,2022,9999,29/02/2024,NA,,
730,2D70,,Lung Metastases,,,,,,,2022,9999,26/01/2024,NA,,
731,2D70,,Lung Metastasis,,,,,,,2022,9999,26/01/2024,NA,,
732,2D70,,Lung Secondaries,,,,,,,2022,9999,04/03/2024,NA,,
733,2D70,,Pulmonary Metastases,,,,,,,2022,9999,29/02/2024,NA,,
734,2D70&XS9R&XA57M6,,Metastatic Adenocarcinoma of Lung,,,,,,,2022,9999,03/01/2024,NA,,
735,2D72,,Malignant Pleural Effusion,,,,,,,2022,9999,13/10/2023,NA,,
736,2D800,,Liver Metastases,,,,,,,2022,9999,06/12/2023,NA,,
737,2D800,,Liver Metastasis,,,,,,,2022,9999,02/02/2024,NA,,
3133,2D800,,Metastases to Liver,,,,,,,2022,9999,05/02/2025,NA,,
3261,2D800,,Metastasis to Liver ,,,,,,,2022,9999,14/03/2025,NA,,
738,2D8Y&XA7MC7,,Stomach Metastases,,,,,,,2022,9999,04/02/2024,NA,,
3262,2D91,,Peritoneal Metastases,,,,,,,2022,9999,14/03/2025,NA,,
739,2D91,,Peritoneum Metastases,,,,,,,2022,9999,05/08/2024,NA,,
740,2D91,,Pseudomyxoma Peritonei,,,,,,,2022,9999,13/10/2023,NA,,
741,2E03,,Bone Metastases,,,,,,,2022,9999,05/02/2024,NA,,
742,2E03,,Bone Metastasis,,,,,,,2022,9999,08/03/2024,NA,,
743,2E03,,Bony Metastases,,,,,,,2022,9999,04/03/2024,NA,,
4404,2E03,,Bony Metastasis ,,,,,,,2022,9999,04/04/2025,NA,,
3125,2E03,,Metastases to Bone,,,,,,,2022,9999,05/02/2025,NA,,
744,2E0Y&XA25Q2,,Pelvic Metastases,,,,,,,2022,9999,04/03/2024,NA,,
3119,2E2Z,2D44,Disseminated Malignancy Unknown Primary,,,,,,,2022,9999,05/02/2025,NA,,
745,2E2Z,BD91,Lymphangitis Carcinomatosis ,,,,,,,2022,9999,13/08/2024,NA,,
746,2E2Z,,Carcinomatosis,,,,,,,2022,9999,02/11/2023,NA,,
747,2E2Z,,Metastases,,,,,,,2022,9999,08/02/2024,NA,,
748,2E2Z,,Metastasis,,,,,,,2022,9999,08/02/2024,NA,,
749,2E2Z,,Metastatic Disease,,,,,,,2022,9999,01/03/2024,NA,,
4374,2E2Z,,Metastatic Spread ,,,,,,,2022,9999,28/03/2025,NA,,
750,2F370,,Pituitary Adenoma,,,,,,,2022,9999,05/08/2024,NA,,
751,2F900&XA8YJ9,,Sigmoid Colon Tumour,,,,,,,2022,9999,05/08/2024,NA,,
4405,2F98&XA6KU8,,Renal tumour ,,,,,,,2022,9999,04/04/2025,NA,,
3263,2F98&XA77K2,,Bladder Tumour ,,,,,,,2022,9999,14/03/2025,NA,,
752,2F9A&XA8J35,,Pituitary Tumour,,,,,,,2022,9999,12/03/2024,NA,,
753,3A00Y,,Microcytic Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
754,3A00Z,,Iron Deficiency Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
755,3A00Z,,Iron Deficient Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
756,3A0130,,Pernicious Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
757,3A03Y,,Chronic Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
758,3A200,,Autoimmune Haemolytic Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
759,3A200&XS25,,Severe Autoimmune Haemolytic Anaemia,,,,,,,2022,9999,30/09/2024,NA,,
760,3A202&XS25,,Severe Autoimmune Haemolytic Anaemia,,,,,,,2022,2022,07/08/2024,NA,30/09/2024,NA
761,3A4Z,,Haemolytic Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
762,3A4Z,,Heamolytic Anaemia,,,,,,,2022,9999,10/10/2024,NA,,
763,3A50Z,,Thalassaemia,,,,,,,2022,9999,05/08/2024,NA,,
764,3A510,,Sickle Cell Trait,,,,,,,2022,9999,13/10/2023,NA,,
765,3A511,,SCD,,,,,,,2022,9999,13/10/2023,NA,,
766,3A511,,Sickle Cell Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
767,3A511,,Sickle Cell Disease,,,,,,,2022,9999,13/10/2023,NA,,
768,3A700,,Fanconi's Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
769,3A70Z,,Aplastic Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
770,3A70Z,,Bone Marrow Failure,,,,,,,2022,9999,13/10/2023,NA,,
771,3A70Z,,Pancytopenia,,,,,,,2022,9999,13/10/2023,NA,,
772,3A70Z&XS25,,Severe Aplastic Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
773,3A71Z,,Anaemia Chronic Disease,,,,,,,2022,9999,14/12/2023,NA,,
774,3A71Z,,Anaemia Of Chronic Disease,,,,,,,2022,2022,13/10/2023,NA,14/12/2023,NA
775,3A8Z,,Polycythaemia,,,,,,,2022,9999,13/10/2023,NA,,
776,3A9Z,,Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
777,3A9Z&XS25,,Severe Anaemia,,,,,,,2022,9999,13/10/2023,NA,,
778,3B100,,Haemophilia,,,,,,,2022,9999,13/10/2023,NA,,
